descriptor,pearson,spearman
slim,-0.12403023761656112,-0.11140934351865127
bright,-0.15434077534215757,-0.14390754133337
dim,0.30689390243524667,0.3126314013155257
sharp,-0.1613754320757786,-0.13879267039940135
thick,0.25193068862572277,0.22239558010725305
thin,-0.28933818430156,-0.2143329385389179
vigorous,0.1923193076077356,0.16133596126448882
clear,-0.2123084417010334,-0.19301354032240697
dry,-0.09352863898034713,-0.15589912781568382
plump,-0.08881361093151924,-0.04389560264493
coarse,0.22462291279148539,0.18056088239861162
pure,-0.03960161976070166,-0.01578738609595731
hoarse,0.25536235923707545,0.23257043982569992
harmonious,0.11445287495393307,0.01639539353941699
soft,-0.13130172360731887,-0.11287017044660207
turbid,0.3776966651249482,0.3705701976518212
