descriptor,scale,delta_target
bright,0.3,1.3982086181640625
bright,0.6,1.8429579734802246
bright,1.0,0.6143929958343506
calm,0.3,2.1677966117858887
calm,0.6,0.8395309448242188
calm,1.0,-0.3846585750579834
clear,0.3,1.3944592475891113
clear,0.6,-0.04912877082824707
clear,1.0,0.4744844436645508
cold,0.3,1.3349134922027588
cold,0.6,1.0881006717681885
cold,1.0,0.8477461338043213
cool,0.3,0.6790432929992676
cool,0.6,0.694368839263916
cool,1.0,0.4271576404571533
crisp,0.3,1.785189151763916
crisp,0.6,1.4406538009643555
crisp,1.0,0.25388050079345703
dark,0.3,0.40205657482147217
dark,0.6,-2.1327254474163055
dark,1.0,-1.7521557360887527
gentle,0.3,1.8981842994689941
gentle,0.6,-0.07148170471191406
gentle,1.0,0.31957387924194336
hard,0.3,0.39030003547668457
hard,0.6,-0.8326065540313721
hard,1.0,-3.873957395553589
harsh,0.3,-0.8711247146129608
harsh,0.6,0.44096219539642334
harsh,1.0,-0.3060694932937622
heavy,0.3,0.5321500301361084
heavy,0.6,-0.31641125679016113
heavy,1.0,-3.515311911702156
loud,0.3,0.036615848541259766
loud,0.6,0.984708309173584
loud,1.0,0.3389244079589844
mellow,0.3,1.4046721458435059
mellow,0.6,-0.4991459846496582
mellow,1.0,-0.3664212226867676
peaceful,0.3,0.1204991340637207
peaceful,0.6,-0.16188812255859375
peaceful,1.0,-0.3516662120819092
sharp,0.3,2.185253858566284
sharp,0.6,1.5030953884124756
sharp,1.0,-0.4608941078186035
smooth,0.3,1.5837926864624023
smooth,0.6,1.5875325202941895
smooth,1.0,-1.9802907705307007
soft,0.3,1.664180040359497
soft,0.6,2.0931098461151123
soft,1.0,0.23764348030090332
soothing,0.3,2.602200508117676
soothing,0.6,1.230971336364746
soothing,1.0,0.18358707427978516
tinny,0.3,0.6113457679748535
tinny,0.6,0.8850932121276855
tinny,1.0,0.5737767219543457
warm,0.3,1.1437578201293945
warm,0.6,0.4307417869567871
warm,1.0,-1.9346052408218384
