model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,bass,0.3,4.529802322387695,4.809626579284668,-0.27982425689697266,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_0.3.wav,guitar
MS-CLAP,bass,0.6,3.7606444358825684,4.809626579284668,-1.0489821434020996,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_0.6.wav,guitar
MS-CLAP,bass,1.0,2.3592936992645264,4.809626579284668,-2.4503328800201416,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_1.0.wav,guitar
MS-CLAP,big,0.3,2.1948986053466797,3.0741162300109863,-0.8792176246643066,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_0.3.wav,guitar
MS-CLAP,big,0.6,2.411207914352417,3.0741162300109863,-0.6629083156585693,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_0.6.wav,guitar
MS-CLAP,big,1.0,2.143049955368042,3.0741162300109863,-0.9310662746429443,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_1.0.wav,guitar
MS-CLAP,big-church,0.3,7.069808006286621,5.133502960205078,1.936305046081543,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big-church_0.3.wav,guitar
MS-CLAP,big-church,0.6,7.147440433502197,5.133502960205078,2.013937473297119,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big-church_0.6.wav,guitar
MS-CLAP,big-church,1.0,9.12234878540039,5.133502960205078,3.9888458251953125,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big-church_1.0.wav,guitar
MS-CLAP,church,0.3,5.021581172943115,4.274539947509766,0.7470412254333496,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_0.3.wav,guitar
MS-CLAP,church,0.6,4.794771194458008,4.274539947509766,0.5202312469482422,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_0.6.wav,guitar
MS-CLAP,church,1.0,4.707685947418213,4.274539947509766,0.43314599990844727,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_1.0.wav,guitar
MS-CLAP,clear,0.3,2.939837694168091,3.876617670059204,-0.9367799758911133,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_0.3.wav,guitar
MS-CLAP,clear,0.6,3.4425950050354004,3.876617670059204,-0.4340226650238037,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_0.6.wav,guitar
MS-CLAP,clear,1.0,1.5060923099517822,3.876617670059204,-2.370525360107422,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_1.0.wav,guitar
MS-CLAP,deep,0.3,1.7902028560638428,2.338292121887207,-0.5480892658233643,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_deep_0.3.wav,guitar
MS-CLAP,deep,0.6,1.85123872756958,2.338292121887207,-0.48705339431762695,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_deep_0.6.wav,guitar
MS-CLAP,deep,1.0,0.7039101719856262,2.338292121887207,-1.6343819499015808,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_deep_1.0.wav,guitar
MS-CLAP,distant,0.3,0.4432797431945801,0.5892344117164612,-0.1459546685218811,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_distant_0.3.wav,guitar
MS-CLAP,distant,0.6,0.9184477925300598,0.5892344117164612,0.32921338081359863,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_distant_0.6.wav,guitar
MS-CLAP,distant,1.0,0.7554104924201965,0.5892344117164612,0.16617608070373535,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_distant_1.0.wav,guitar
MS-CLAP,distorted,0.3,2.4108433723449707,2.6158969402313232,-0.20505356788635254,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_distorted_0.3.wav,guitar
