descriptor,scale,delta_target
bright,0.3,-0.01212424784898758
bright,0.6,0.01940386649221182
bright,1.0,0.05965500045567751
calm,0.3,-0.00348697358276695
calm,0.6,0.01051183883100748
calm,1.0,0.027518238872289658
clear,0.3,0.007028029882349074
clear,0.6,0.03149015083909035
clear,1.0,0.08213615417480469
cold,0.3,-0.011647336184978485
cold,0.6,-0.035721734166145325
cold,1.0,0.007908180356025696
cool,0.3,0.038752248510718346
cool,0.6,0.018033961088804062
cool,1.0,0.01795153975399444
crisp,0.3,0.006799459457397461
crisp,0.6,0.010322455316781998
crisp,1.0,0.08804881572723389
dark,0.3,0.043593209236860275
dark,0.6,0.07531817257404327
dark,1.0,0.10475585609674454
gentle,0.3,-0.0003261510282754898
gentle,0.6,-0.027566191041842103
gentle,1.0,-0.033722417894750834
hard,0.3,0.04471868276596069
hard,0.6,0.13582739233970642
hard,1.0,0.17110583186149597
harsh,0.3,0.014403325505554676
harsh,0.6,-0.029543133452534676
harsh,1.0,0.014681213535368443
heavy,0.3,0.0310635045170784
heavy,0.6,0.09449800103902817
heavy,1.0,0.19504434615373611
loud,0.3,0.011285167187452316
loud,0.6,0.1592373475432396
loud,1.0,0.23595916479825974
mellow,0.3,0.05045536160469055
mellow,0.6,0.07745039463043213
mellow,1.0,0.09613972902297974
peaceful,0.3,0.009334243834018707
peaceful,0.6,0.034814830869436264
peaceful,1.0,0.032849885523319244
sharp,0.3,-0.01204054057598114
sharp,0.6,0.009156238287687302
sharp,1.0,0.15971843525767326
smooth,0.3,0.050922028720378876
smooth,0.6,0.08907445520162582
smooth,1.0,0.11109659820795059
soft,0.3,0.04292210377752781
soft,0.6,0.05998838134109974
soft,1.0,0.0861490610986948
soothing,0.3,0.024444997310638428
soothing,0.6,0.07428544759750366
soothing,1.0,0.08714507520198822
tinny,0.3,-0.02485046163201332
tinny,0.6,0.005414813756942749
tinny,1.0,0.022248968482017517
warm,0.3,0.03990938887000084
warm,0.6,0.0294773168861866
warm,1.0,-0.049888018518686295
