descriptor,scale,delta_target
bass,0.3,0.022779427468776703
bass,0.6,-0.01938055455684662
bass,1.0,-0.051353078335523605
big,0.3,0.03013051301240921
big,0.6,0.011875137686729431
big,1.0,0.026354990899562836
big-church,0.3,0.03047579526901245
big-church,0.6,0.09911229275166988
big-church,1.0,0.2524803951382637
church,0.3,0.0652124397456646
church,0.6,0.08507256535813212
church,1.0,0.12286263704299927
clear,0.3,-0.0014983369037508965
clear,0.6,-0.01023400155827403
clear,1.0,-0.04067714884877205
deep,0.3,0.0007062982767820358
deep,0.6,0.04938052222132683
deep,1.0,0.20139383152127266
distant,0.3,0.031696856021881104
distant,0.6,0.07139527052640915
distant,1.0,0.11530845239758492
distorted,0.3,-0.07212431728839874
distorted,0.6,-0.07324320077896118
distorted,1.0,0.04422631300985813
echo,0.3,0.04781436361372471
echo,0.6,0.05120898224413395
echo,1.0,-0.010192662419285625
haunting,0.3,0.017917032353579998
haunting,0.6,0.039020794443786144
haunting,1.0,0.12670569401234388
hollow,0.3,0.011721938848495483
hollow,0.6,0.07885539717972279
hollow,1.0,0.20655182749032974
loud,0.3,0.007806107401847839
loud,0.6,0.0384211465716362
loud,1.0,0.03228909568861127
low,0.3,0.02697893977165222
low,0.6,0.0782025083899498
low,1.0,0.22632456570863724
muffled,0.3,-0.03173215687274933
muffled,0.6,-0.010245755314826965
muffled,1.0,-0.014814093708992004
nice,0.3,0.0172889307141304
nice,0.6,-0.03180438280105591
nice,1.0,-0.016798630356788635
sad,0.3,-0.03267428278923035
sad,0.6,-0.0007849037647247314
sad,1.0,0.10112173855304718
soft,0.3,0.03881153464317322
soft,0.6,0.025059450417757034
soft,1.0,0.07555199414491653
spacious,0.3,-0.010226328857243061
spacious,0.6,0.001747502014040947
spacious,1.0,0.18422257155179977
strong,0.3,-0.003928128629922867
strong,0.6,0.0435122475028038
strong,1.0,-0.004586383700370789
warm,0.3,0.05309399217367172
warm,0.6,0.0178176611661911
warm,1.0,-0.11116024851799011
