descriptor,scale,delta_target
bass,0.3,-0.26146888732910156
bass,0.6,-0.11674308776855469
bass,1.0,-0.8232512474060059
big,0.3,-0.7724819183349609
big,0.6,-0.7015981674194336
big,1.0,-2.0122519731521606
church,0.3,0.2799549102783203
church,0.6,0.6399140357971191
church,1.0,0.4033946990966797
clear,0.3,-0.15553569793701172
clear,0.6,-0.8794946670532227
clear,1.0,-3.5240567475557327
deep,0.3,0.32213497161865234
deep,0.6,-0.07361495494842529
deep,1.0,-2.1697922945022583
distant,0.3,0.9928909838199615
distant,0.6,0.16666725277900696
distant,1.0,-0.6859372556209564
distorted,0.3,-0.46303558349609375
distorted,0.6,-0.3808293342590332
distorted,1.0,-0.09210705757141113
echo,0.3,-0.2863011360168457
echo,0.6,-0.3071725368499756
echo,1.0,-2.064301609992981
hall,0.3,-0.7736563682556152
hall,0.6,0.30771493911743164
hall,1.0,-0.771195650100708
haunting,0.3,0.8574986457824707
haunting,0.6,2.7581276893615723
haunting,1.0,5.003421783447266
hollow,0.3,0.9411680698394775
hollow,0.6,0.11807799339294434
hollow,1.0,-0.20070528984069824
loud,0.3,0.09999680519104004
loud,0.6,-0.9121804237365723
loud,1.0,-0.8783113360404968
low,0.3,-0.34890878200531006
low,0.6,-1.0643149614334106
low,1.0,-0.8411132097244263
muffled,0.3,0.2756047248840332
muffled,0.6,0.18313360214233398
muffled,1.0,-1.1649762392044067
sad,0.3,0.3099682331085205
sad,0.6,1.0025057792663574
sad,1.0,1.2128872871398926
soft,0.3,-0.33286309242248535
soft,0.6,-0.3787524700164795
soft,1.0,-1.4627854824066162
spacious,0.3,-0.5026988983154297
spacious,0.6,-0.37354373931884766
spacious,1.0,-1.4557104110717773
strong,0.3,0.1301863193511963
strong,0.6,-1.1432139873504639
strong,1.0,-1.1222285032272339
tinny,0.3,-0.31032514572143555
tinny,0.6,-0.863419771194458
tinny,1.0,-2.5954346656799316
warm,0.3,-0.8031378984451294
warm,0.6,-1.26792573928833
warm,1.0,-1.9095187187194824
