model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MS-CLAP,bass,0.3,4.031920433044434,4.293389320373535,-0.26146888732910156,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_0.3.wav,guitar
MS-CLAP,bass,0.6,4.1766462326049805,4.293389320373535,-0.11674308776855469,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_0.6.wav,guitar
MS-CLAP,bass,1.0,3.4701380729675293,4.293389320373535,-0.8232512474060059,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_bass_1.0.wav,guitar
MS-CLAP,big,0.3,1.9846272468566895,2.7571091651916504,-0.7724819183349609,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_0.3.wav,guitar
MS-CLAP,big,0.6,2.055510997772217,2.7571091651916504,-0.7015981674194336,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_0.6.wav,guitar
MS-CLAP,big,1.0,0.7448571920394897,2.7571091651916504,-2.0122519731521606,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_big_1.0.wav,guitar
MS-CLAP,church,0.3,4.839447975158691,4.559493064880371,0.2799549102783203,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_0.3.wav,guitar
MS-CLAP,church,0.6,5.19940710067749,4.559493064880371,0.6399140357971191,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_0.6.wav,guitar
MS-CLAP,church,1.0,4.962887763977051,4.559493064880371,0.4033946990966797,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_church_1.0.wav,guitar
MS-CLAP,clear,0.3,3.2940194606781006,3.4495551586151123,-0.15553569793701172,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_0.3.wav,guitar
MS-CLAP,clear,0.6,2.5700604915618896,3.4495551586151123,-0.8794946670532227,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_0.6.wav,guitar
MS-CLAP,clear,1.0,-0.07450158894062042,3.4495551586151123,-3.5240567475557327,/Users/lindseydeng/Desktop/timbre_semantics_experiment2/test_audio/reverb/guitar_reverb_clear_1.0.wav,guitar
