descriptor,scale,delta_target
bright,0.3,-0.00565178319811821
bright,0.6,-0.008257929235696793
bright,1.0,-0.005295712500810623
calm,0.3,-0.006013356149196625
calm,0.6,-0.007219471037387848
calm,1.0,-0.011046886444091797
clear,0.3,-0.0011163949966430664
clear,0.6,-0.0016558393836021423
clear,1.0,-0.000388123095035553
cold,0.3,-0.012521356344223022
cold,0.6,-0.015190660953521729
cold,1.0,-0.020224928855895996
cool,0.3,0.0011548399925231934
cool,0.6,0.0006669461727142334
cool,1.0,-0.00011904537677764893
crisp,0.3,-0.0019282400608062744
crisp,0.6,-0.007340282201766968
crisp,1.0,-0.004153192043304443
dark,0.3,-0.013976871967315674
dark,0.6,-0.006873071193695068
dark,1.0,0.046244651079177856
gentle,0.3,0.005373626947402954
gentle,0.6,-0.0001793205738067627
gentle,1.0,-0.01159331202507019
hard,0.3,0.00903630256652832
hard,0.6,0.01728343963623047
hard,1.0,0.02434784173965454
harsh,0.3,0.003903523087501526
harsh,0.6,0.0007840543985366821
harsh,1.0,-0.0015171989798545837
heavy,0.3,0.0010257959365844727
heavy,0.6,0.018717199563980103
heavy,1.0,0.04339727759361267
loud,0.3,0.021831274032592773
loud,0.6,0.04414224624633789
loud,1.0,0.04633767902851105
mellow,0.3,0.015157505869865417
mellow,0.6,0.02875189483165741
mellow,1.0,0.04393462836742401
peaceful,0.3,0.008725404739379883
peaceful,0.6,0.009059429168701172
peaceful,1.0,0.010546967387199402
sharp,0.3,0.005751848220825195
sharp,0.6,0.0015555024147033691
sharp,1.0,-0.009695261716842651
smooth,0.3,0.016801118850708008
smooth,0.6,0.03189036250114441
smooth,1.0,0.03567129373550415
soft,0.3,-0.004048898816108704
soft,0.6,-0.012360185384750366
soft,1.0,-0.022161230444908142
soothing,0.3,0.007404714822769165
soothing,0.6,0.005302026867866516
soothing,1.0,0.002102963626384735
tinny,0.3,0.012236839160323143
tinny,0.6,0.01049472950398922
tinny,1.0,0.0008018743246793747
warm,0.3,0.010462850332260132
warm,0.6,0.021589934825897217
warm,1.0,0.02493429183959961
