model,descriptor,scale,sim_target,sim_orig_target,delta_target,path,stem
MuQ-MuLan,bright,0.3,0.04864685237407684,0.05429863557219505,-0.00565178319811821,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_bright_0.3.wav,guitar
MuQ-MuLan,bright,0.6,0.04604070633649826,0.05429863557219505,-0.008257929235696793,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_bright_0.6.wav,guitar
MuQ-MuLan,bright,1.0,0.04900292307138443,0.05429863557219505,-0.005295712500810623,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_bright_1.0.wav,guitar
MuQ-MuLan,calm,0.3,0.07758691161870956,0.08360026776790619,-0.006013356149196625,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_calm_0.3.wav,guitar
MuQ-MuLan,calm,0.6,0.07638079673051834,0.08360026776790619,-0.007219471037387848,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_calm_0.6.wav,guitar
MuQ-MuLan,calm,1.0,0.07255338132381439,0.08360026776790619,-0.011046886444091797,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_calm_1.0.wav,guitar
MuQ-MuLan,clear,0.3,0.0835801437497139,0.08469653874635696,-0.0011163949966430664,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_clear_0.3.wav,guitar
MuQ-MuLan,clear,0.6,0.08304069936275482,0.08469653874635696,-0.0016558393836021423,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_clear_0.6.wav,guitar
MuQ-MuLan,clear,1.0,0.08430841565132141,0.08469653874635696,-0.000388123095035553,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_clear_1.0.wav,guitar
MuQ-MuLan,cold,0.3,0.31224071979522705,0.3247620761394501,-0.012521356344223022,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cold_0.3.wav,guitar
MuQ-MuLan,cold,0.6,0.30957141518592834,0.3247620761394501,-0.015190660953521729,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cold_0.6.wav,guitar
MuQ-MuLan,cold,1.0,0.3045371472835541,0.3247620761394501,-0.020224928855895996,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cold_1.0.wav,guitar
MuQ-MuLan,cool,0.3,0.10828123986721039,0.1071263998746872,0.0011548399925231934,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cool_0.3.wav,guitar
MuQ-MuLan,cool,0.6,0.10779334604740143,0.1071263998746872,0.0006669461727142334,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cool_0.6.wav,guitar
MuQ-MuLan,cool,1.0,0.10700735449790955,0.1071263998746872,-0.00011904537677764893,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_cool_1.0.wav,guitar
MuQ-MuLan,crisp,0.3,0.2570430338382721,0.25897127389907837,-0.0019282400608062744,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_crisp_0.3.wav,guitar
MuQ-MuLan,crisp,0.6,0.2516309916973114,0.25897127389907837,-0.007340282201766968,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_crisp_0.6.wav,guitar
MuQ-MuLan,crisp,1.0,0.2548180818557739,0.25897127389907837,-0.004153192043304443,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_crisp_1.0.wav,guitar
MuQ-MuLan,dark,0.3,0.3412736654281616,0.3552505373954773,-0.013976871967315674,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_dark_0.3.wav,guitar
MuQ-MuLan,dark,0.6,0.3483774662017822,0.3552505373954773,-0.006873071193695068,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_dark_0.6.wav,guitar
MuQ-MuLan,dark,1.0,0.40149518847465515,0.3552505373954773,0.046244651079177856,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_dark_1.0.wav,guitar
MuQ-MuLan,gentle,0.3,0.2624645233154297,0.25709089636802673,0.005373626947402954,/content/drive/MyDrive/audealize_audio/eq_audio/guitar_eq_gentle_0.3.wav,guitar
