descriptor,scale,delta_target
bass,0.3,-0.05063068866729736
bass,0.6,-0.07393316924571991
bass,1.0,-0.10370686650276184
big,0.3,-0.023691382259130478
big,0.6,-0.045362237840890884
big,1.0,-0.05526864342391491
church,0.3,0.02436390519142151
church,0.6,-0.013628900051116943
church,1.0,-0.02194596827030182
clear,0.3,-0.01334834098815918
clear,0.6,-0.04032474756240845
clear,1.0,-0.08809269964694977
deep,0.3,0.009904881939291954
deep,0.6,0.005141977220773697
deep,1.0,-0.0010086540132761002
distant,0.3,-0.003206491470336914
distant,0.6,-0.0258978009223938
distant,1.0,-0.10286805033683777
distorted,0.3,-0.027229174971580505
distorted,0.6,-0.06383220851421356
distorted,1.0,-0.09431036934256554
echo,0.3,-0.0004160255193710327
echo,0.6,0.0019419938325881958
echo,1.0,0.0319160521030426
hall,0.3,-0.00869952142238617
hall,0.6,-0.017622411251068115
hall,1.0,-0.02930539846420288
haunting,0.3,0.0012098848819732666
haunting,0.6,0.012891337275505066
haunting,1.0,0.037507012486457825
hollow,0.3,0.0021852850914001465
hollow,0.6,-0.005403786897659302
hollow,1.0,-0.005387783050537109
loud,0.3,-0.025169044733047485
loud,0.6,-0.05485135316848755
loud,1.0,-0.12156850099563599
low,0.3,0.002400132827460766
low,0.6,-0.017641798593103886
low,1.0,-0.016604886390268803
muffled,0.3,0.009225532412528992
muffled,0.6,0.037768080830574036
muffled,1.0,0.06484166532754898
sad,0.3,-0.011459290981292725
sad,0.6,-0.01731741428375244
sad,1.0,-0.011404097080230713
soft,0.3,-0.010579496622085571
soft,0.6,-0.023039132356643677
soft,1.0,-0.0483100563287735
spacious,0.3,0.04252191074192524
spacious,0.6,0.02838902734220028
spacious,1.0,0.0054575297981500626
strong,0.3,-0.010770626366138458
strong,0.6,-0.03562113642692566
strong,1.0,-0.07636817544698715
tinny,0.3,-0.038346000015735626
tinny,0.6,-0.07034152746200562
tinny,1.0,-0.08724556490778923
warm,0.3,-0.006813913583755493
warm,0.6,-0.04713784158229828
warm,1.0,-0.08272646367549896
